time (ns),voltage (mV)
0.0,0.0
0.200129118540581,0.0
0.400258237081162,0.0
0.600387355621743,0.0
0.800516474162324,0.0
1.000645592702905,0.0
1.200774711243486,0.0
1.400903829784067,0.0
1.601032948324648,0.0
1.8011620668652288,0.0
2.00129118540581,0.0
2.201420303946391,0.0
2.401549422486972,0.0
2.6016785410275527,3.937007874015748
2.801807659568134,0.0
3.001936778108715,-3.937007874015748
3.202065896649296,0.0
3.4021950151898768,0.0
3.6023241337304577,0.0
3.802453252271039,0.0
4.00258237081162,0.0
4.2027114893522,0.0
4.402840607892782,3.937007874015748
4.602969726433363,3.937007874015748
4.803098844973944,0.0
5.003227963514525,0.0
5.203357082055105,0.0
5.403486200595687,0.0
5.603615319136268,0.0
5.8037444376768486,-3.937007874015748
6.00387355621743,0.0
6.20400267475801,0.0
6.404131793298592,0.0
6.604260911839173,0.0
6.8043900303797535,0.0
7.004519148920335,0.0
7.204648267460915,-3.937007874015748
7.404777386001497,0.0
7.604906504542078,0.0
7.8050356230826585,-3.937007874015748
8.00516474162324,0.0
8.20529386016382,0.0
8.4054229787044,0.0
8.605552097244983,0.0
8.805681215785564,0.0
9.005810334326144,0.0
9.205939452866726,0.0
9.406068571407307,-3.937007874015748
9.606197689947887,0.0
9.80632680848847,0.0
10.00645592702905,0.0
10.20658504556963,3.937007874015748
10.40671416411021,0.0
10.606843282650793,3.937007874015748
10.806972401191373,0.0
11.007101519731954,0.0
11.207230638272536,0.0
11.407359756813117,0.0
11.607488875353697,0.0
11.80761799389428,0.0
12.00774711243486,0.0
12.20787623097544,0.0
12.40800534951602,0.0
12.608134468056603,0.0
12.808263586597183,0.0
13.008392705137764,0.0
13.208521823678346,0.0
13.408650942218927,0.0
13.608780060759507,0.0
13.808909179300088,0.0
14.00903829784067,0.0
14.20916741638125,0.0
14.40929653492183,0.0
14.609425653462413,0.0
14.809554772002993,0.0
15.009683890543574,0.0
15.209813009084156,-3.937007874015748
15.409942127624737,-3.937007874015748
15.610071246165317,0.0
15.810200364705898,0.0
16.01032948324648,0.0
16.21045860178706,0.0
16.41058772032764,0.0
16.61071683886822,0.0
16.8108459574088,0.0
17.010975075949386,0.0
17.211104194489966,0.0
17.411233313030547,0.0
17.611362431571127,0.0
17.811491550111707,-3.937007874015748
18.011620668652288,0.0
18.211749787192872,0.0
18.411878905733452,0.0
18.612008024274033,0.0
18.812137142814613,0.0
19.012266261355194,0.0
19.212395379895774,0.0
19.412524498436355,-3.937007874015748
19.61265361697694,0.0
19.81278273551752,0.0
20.0129118540581,0.0
20.21304097259868,0.0
20.41317009113926,0.0
20.61329920967984,0.0
20.81342832822042,0.0
21.013557446761006,0.0
21.213686565301586,0.0
21.413815683842166,0.0
21.613944802382747,0.0
21.814073920923327,-3.937007874015748
22.014203039463908,0.0
22.21433215800449,0.0
22.414461276545072,0.0
22.614590395085653,0.0
22.814719513626233,0.0
23.014848632166814,0.0
23.214977750707394,0.0
23.415106869247975,0.0
23.61523598778856,0.0
23.81536510632914,0.0
24.01549422486972,0.0
24.2156233434103,0.0
24.41575246195088,0.0
24.61588158049146,0.0
24.81601069903204,0.0
25.016139817572626,0.0
25.216268936113206,-3.937007874015748
25.416398054653786,0.0
25.616527173194367,0.0
25.816656291734947,0.0
26.016785410275528,0.0
26.21691452881611,0.0
26.417043647356692,0.0
26.617172765897273,-3.937007874015748
26.817301884437853,0.0
27.017431002978434,0.0
27.217560121519014,-3.937007874015748
27.417689240059595,0.0
27.617818358600175,0.0
27.81794747714076,0.0
28.01807659568134,0.0
28.21820571422192,-3.937007874015748
28.4183348327625,0.0
28.61846395130308,0.0
28.81859306984366,-3.937007874015748
29.018722188384245,0.0
29.218851306924826,0.0
29.418980425465406,-3.937007874015748
29.619109544005987,-3.937007874015748
29.819238662546567,-3.937007874015748
30.019367781087148,-3.937007874015748
30.21949689962773,-3.937007874015748
30.419626018168312,-3.937007874015748
30.619755136708893,-7.874015748031496
30.819884255249473,-7.874015748031496
31.020013373790054,-7.874015748031496
31.220142492330634,-7.874015748031496
31.420271610871215,-7.874015748031496
31.620400729411795,-3.937007874015748
31.82052984795238,-7.874015748031496
32.02065896649296,-7.874015748031496
32.22078808503354,-7.874015748031496
32.42091720357412,-11.811023622047244
32.6210463221147,-7.874015748031496
32.82117544065528,-7.874015748031496
33.02130455919586,-7.874015748031496
33.22143367773644,-7.874015748031496
33.42156279627702,-3.937007874015748
33.6216919148176,-7.874015748031496
33.82182103335819,-3.937007874015748
34.02195015189877,-7.874015748031496
34.22207927043935,-7.874015748031496
34.42220838897993,-7.874015748031496
34.62233750752051,-7.874015748031496
34.82246662606109,-11.811023622047244
35.022595744601674,-15.748031496062993
35.222724863142254,-15.748031496062993
35.422853981682835,-19.68503937007874
